,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
AR -- CLARK (County),22,17,14,21,33,36,46,34,45,213,1,41,0,0,13,0,4,3,6,7,3,14,20,42,168,1,2,20,5,13,39,63,40,0,79,1,2,3,1,45,17,126,80,0,154,90,0,24,0,0,268
AR -- CLAY (County),13,18,19,22,33,44,39,22,24,209,1,1,1,0,22,0,1,3,3,14,9,9,14,37,144,0,1,41,11,14,38,36,38,0,54,0,1,0,0,50,4,108,72,0,123,81,0,30,0,0,234
AR -- CLEBURNE (County),44,45,49,53,81,103,93,103,111,621,4,0,0,4,53,0,1,9,8,18,21,19,42,114,449,1,2,39,21,31,76,145,128,0,207,13,11,5,4,47,34,441,160,0,482,113,0,87,0,0,682
AR -- CLEVELAND (County),9,9,7,8,18,20,18,16,33,127,0,3,0,0,8,0,0,2,1,1,3,7,8,25,91,0,1,8,6,8,17,34,33,0,29,0,1,0,1,18,5,86,29,0,100,26,0,12,0,0,138
AR -- COLUMBIA (County),11,9,13,18,23,20,31,27,28,122,2,49,0,0,7,0,0,2,3,5,8,4,10,23,124,1,2,14,9,24,20,35,27,0,42,0,5,2,0,18,24,100,38,1,112,42,0,25,0,0,180
AR -- CONWAY (County),16,17,39,40,48,58,65,90,87,404,0,9,1,1,45,0,1,6,4,13,14,19,32,94,277,0,1,25,15,23,51,99,91,0,141,6,3,3,2,102,13,250,95,0,269,140,0,51,0,0,460
AR -- CRAIGHEAD (County),80,82,115,149,174,182,195,212,252,1255,11,74,3,3,95,0,13,24,30,47,72,90,108,246,809,2,4,58,43,67,108,256,270,17,462,48,53,26,29,251,95,638,457,0,859,339,0,243,0,0,1441
AR -- CRAWFORD (County),56,50,95,97,140,173,162,191,184,1025,15,2,2,6,98,0,7,18,12,35,63,56,80,245,632,0,3,57,40,48,140,260,204,5,328,18,30,11,4,117,79,710,242,0,773,190,0,185,0,0,1148
AR -- CRITTENDEN (County),44,49,56,53,68,80,67,44,50,243,4,236,1,1,26,0,4,4,7,15,17,22,34,85,322,1,0,42,20,33,61,122,81,0,120,5,14,10,3,63,166,128,154,0,172,212,0,127,0,0,511
AR -- CROSS (County),12,12,14,27,32,31,34,41,30,174,1,38,1,0,19,0,1,3,6,9,13,14,14,37,135,1,0,17,10,20,30,50,41,0,62,1,1,1,0,19,20,135,59,0,149,44,0,40,0,0,233
AR -- DALLAS (County),10,11,9,5,11,9,18,11,25,61,0,41,0,0,7,0,1,1,3,1,5,2,7,12,77,0,2,17,7,10,16,23,11,0,22,0,1,0,0,37,11,30,31,0,35,58,0,16,0,0,109
AR -- DESHA (County),10,2,5,7,4,3,8,15,23,35,0,40,0,0,2,0,3,3,0,2,1,6,2,14,46,0,1,7,7,7,10,21,6,0,15,1,0,0,2,47,5,5,20,0,6,56,0,15,0,0,77
AR -- DREW (County),17,16,24,21,20,19,38,26,40,154,2,53,1,0,11,0,1,4,5,9,6,8,12,37,138,1,2,21,15,17,20,57,37,0,41,5,5,0,1,54,19,95,53,0,110,86,0,25,0,0,221
AR -- FAULKNER (County),187,183,272,352,552,568,555,591,674,3400,38,125,13,24,334,0,17,63,49,98,335,271,374,784,1941,2,8,47,46,79,204,590,706,16,1527,188,236,156,131,643,331,1733,1227,1,2374,820,0,739,0,0,3934
AR -- FRANKLIN (County),10,16,12,18,25,38,39,41,53,227,1,0,1,0,23,0,0,2,3,5,8,11,21,53,149,0,1,21,10,16,42,71,42,0,44,2,3,0,0,24,16,153,59,0,176,53,0,23,0,0,252
AR -- FULTON (County),10,20,15,19,34,30,34,33,26,194,1,0,0,2,24,0,0,1,1,3,4,8,11,35,158,0,1,29,6,25,45,44,31,0,37,0,1,1,1,28,16,143,34,0,148,47,0,26,0,0,221
AR -- GARLAND (County),110,105,129,193,249,255,255,274,294,1607,27,39,6,7,178,0,15,21,20,59,80,77,109,285,1193,5,3,75,45,77,181,404,343,1,580,41,56,39,19,313,159,954,438,0,1119,406,0,339,0,0,1864
AR -- GRANT (County),20,18,24,16,46,40,44,55,67,295,4,1,0,0,30,0,2,2,7,5,19,22,28,59,186,0,1,13,9,12,31,76,72,4,97,4,6,3,2,30,12,196,92,0,231,57,0,42,0,0,330
AR -- GREENE (County),27,43,68,81,65,93,119,100,134,666,5,1,2,3,53,0,4,8,10,30,32,36,47,127,433,3,2,43,31,42,92,177,133,0,184,6,14,3,3,70,66,431,163,0,484,160,0,86,0,0,730
AR -- HEMPSTEAD (County),6,8,16,20,21,19,37,41,45,162,3,34,1,0,13,0,0,1,4,3,3,4,12,42,144,0,0,18,17,9,25,60,31,0,49,2,1,0,1,20,13,133,47,0,146,46,0,21,0,0,213
AR -- HOT SPRING (County),47,32,44,61,84,80,107,89,68,518,8,35,1,2,48,0,3,4,7,14,16,28,37,127,375,1,3,40,21,51,80,147,112,0,131,8,9,7,3,95,50,336,131,1,369,146,0,96,0,0,612
AR -- HOWARD (County),7,9,12,18,14,22,25,27,35,125,1,35,1,0,7,0,1,0,4,9,1,5,9,28,111,1,2,18,5,14,19,31,20,0,52,2,2,3,1,24,12,94,39,0,103,51,0,15,0,0,169
AR -- INDEPENDENCE (County),42,45,52,57,76,72,80,102,132,597,4,3,0,1,53,0,5,7,14,14,28,24,58,104,404,0,1,55,21,37,82,154,96,0,171,11,19,9,2,43,53,401,161,0,430,138,0,90,0,0,658
AR -- IZARD (County),13,10,10,17,18,17,21,27,21,128,2,1,0,0,23,0,0,2,1,4,4,8,6,26,103,0,1,18,7,10,38,33,22,0,18,1,3,2,1,10,16,97,31,0,102,27,0,25,0,0,154
AR -- JACKSON (County),10,11,14,20,16,29,26,27,37,160,0,17,0,0,13,0,1,1,2,6,11,4,13,31,121,0,1,11,9,8,31,45,37,0,42,1,3,2,0,18,24,108,40,0,119,48,0,23,0,0,190
AR -- JEFFERSON (County),72,61,53,75,96,100,96,137,214,441,5,400,3,2,53,0,9,28,19,27,29,35,48,152,557,0,1,58,48,49,123,226,144,0,227,8,14,4,2,200,182,267,255,1,339,416,0,148,0,0,904
AR -- JOHNSON (County),15,21,30,30,51,51,58,44,31,306,3,2,0,3,17,0,4,4,6,10,9,13,18,68,199,0,2,26,18,38,43,88,43,0,64,1,4,3,1,36,24,200,71,0,216,75,0,40,0,0,331
AR -- LAFAYETTE (County),8,8,8,10,13,8,14,7,0,48,1,25,0,0,2,0,3,1,0,1,4,2,3,13,48,1,1,10,1,10,12,17,14,0,9,1,0,0,1,6,9,35,26,0,43,20,0,13,0,0,76
AR -- LAWRENCE (County),14,10,14,16,28,24,37,46,24,199,1,1,0,1,11,0,1,2,1,7,11,6,15,46,124,0,4,29,15,21,38,46,18,0,37,3,1,0,1,23,17,133,40,0,138,50,0,25,0,0,213
AR -- LEE (County),3,7,3,7,7,11,5,12,24,39,1,34,1,0,4,0,0,2,1,0,1,2,5,7,59,2,0,16,8,3,10,17,11,0,12,1,1,0,0,15,20,10,34,0,11,59,0,9,0,0,79
AR -- LINCOLN (County),11,4,4,16,15,14,12,15,22,99,0,8,0,0,6,0,1,4,2,3,3,2,7,20,71,0,0,11,10,12,15,26,12,0,27,0,0,0,0,14,7,52,40,0,63,23,0,27,0,0,113
AR -- LITTLE RIVER (County),6,4,10,4,12,19,23,23,32,114,1,8,0,0,10,0,0,0,4,2,2,5,8,23,89,0,0,15,5,11,16,41,19,0,23,1,1,1,0,26,6,79,22,0,83,41,0,9,0,0,133
AR -- LOGAN (County),33,25,27,43,49,41,45,70,70,361,2,1,1,1,37,0,1,3,3,9,11,26,22,63,265,0,4,51,28,35,58,107,40,0,76,0,1,1,2,41,36,235,91,0,261,96,0,46,0,0,403
AR -- LONOKE (County),255,261,336,483,553,544,493,104,18,2646,49,57,5,10,280,0,30,46,47,94,236,205,316,675,1394,4,3,38,32,53,160,484,600,39,1174,127,178,114,45,216,276,1392,1163,1,1850,447,0,749,0,0,3047
AR -- MADISON (County),18,14,15,25,20,25,28,46,39,205,3,1,1,0,20,0,4,3,6,10,8,16,13,47,123,0,1,17,5,16,23,55,48,0,56,1,6,2,0,16,15,138,61,1,151,37,0,41,0,0,230
AR -- MARION (County),16,17,23,33,42,30,51,51,51,273,3,0,1,0,37,0,3,3,2,6,10,5,12,43,229,1,1,38,16,24,45,76,52,0,57,1,1,2,1,25,19,215,55,0,226,44,0,44,0,0,314
AR -- MILLER (County),50,38,35,48,67,60,69,84,108,387,4,119,0,3,46,0,3,11,6,12,22,33,38,80,353,1,3,38,26,30,80,128,98,2,125,11,11,6,1,50,101,275,133,0,329,151,0,79,0,0,559
AR -- MISSISSIPPI (County),26,30,41,37,56,50,57,62,70,238,4,162,0,2,23,0,4,5,3,11,8,20,30,78,270,0,2,40,23,38,64,104,61,1,80,7,3,4,2,44,87,179,119,0,219,134,0,76,0,0,429
AR -- MONROE (County),8,11,9,14,12,20,34,36,43,97,2,78,1,0,9,0,1,1,3,1,4,6,6,25,140,0,2,11,11,19,34,37,21,0,51,0,1,0,0,57,18,69,43,0,80,90,0,17,0,0,187
AR -- MONTGOMERY (County),10,4,7,15,22,19,25,31,18,135,0,0,2,1,13,0,0,0,3,2,3,1,9,24,109,0,2,9,8,5,31,37,26,0,33,0,0,0,0,12,7,107,25,0,112,26,0,13,0,0,151
AR -- NEVADA (County),35,11,11,14,20,15,27,19,3,109,1,34,0,0,11,0,0,0,3,5,4,9,13,23,97,1,1,15,6,11,34,38,17,0,32,0,0,0,1,21,26,47,61,0,50,59,0,46,0,0,155
AR -- NEWTON (County),5,13,11,13,10,17,15,4,4,84,0,1,0,0,7,0,0,0,0,3,3,2,5,15,64,0,0,6,4,11,22,18,15,0,15,0,1,0,0,1,26,36,29,0,29,18,0,45,0,0,92
AR -- OUACHITA (County),27,29,23,23,48,60,57,35,31,179,1,135,1,0,17,0,3,4,5,11,10,10,15,57,216,2,1,23,14,28,40,94,48,0,75,4,3,2,1,65,39,132,97,0,141,138,0,54,0,0,333
AR -- PERRY (County),18,27,27,33,32,47,64,48,32,302,2,0,2,0,22,0,3,1,0,6,13,15,28,63,199,0,1,17,14,13,28,82,56,0,105,5,6,1,0,60,20,184,64,0,184,111,0,33,0,0,328
AR -- PHILLIPS (County),7,10,13,17,34,29,24,18,11,50,2,105,0,0,6,0,2,1,2,2,6,7,6,25,112,0,3,22,7,17,29,32,19,0,30,4,0,0,0,62,30,23,48,0,36,109,0,18,0,0,163
AR -- PIKE (County),8,7,4,16,13,19,24,24,26,124,3,0,0,0,14,0,0,0,1,2,7,5,11,35,80,0,1,9,5,12,26,31,11,0,42,1,2,1,0,15,6,88,32,0,90,32,0,19,0,0,141
AR -- POINSETT (County),17,21,26,27,38,50,35,35,39,254,4,13,2,0,15,0,2,6,6,11,7,9,13,43,191,0,3,37,23,22,45,58,44,5,48,1,1,1,0,18,42,162,66,0,173,67,0,48,0,0,288
AR -- POLK (County),22,18,27,20,37,50,53,78,61,334,6,0,0,3,23,0,3,2,4,6,13,26,18,54,239,1,0,35,19,28,50,89,59,0,81,2,1,1,1,17,30,235,84,0,258,53,0,55,0,0,366
AR -- POPE (County),63,53,64,86,87,135,107,135,206,823,18,3,1,1,90,0,8,14,15,29,44,45,64,161,554,2,1,44,32,41,85,225,148,6,281,27,26,14,6,80,89,556,211,0,640,159,0,137,0,0,936
AR -- PRAIRIE (County),5,13,9,8,21,22,31,32,41,158,0,2,0,0,22,0,0,0,1,0,10,8,11,32,120,0,2,6,5,11,27,41,28,0,58,2,1,0,1,24,9,123,26,0,126,40,0,16,0,0,182
AR -- PULASKI (County),415,459,563,716,1019,1116,1147,1288,1425,5175,127,2171,25,42,608,0,83,111,137,289,436,452,586,1513,4537,4,27,190,150,266,580,1285,1319,64,2862,307,434,326,338,2029,1139,2445,2535,6,3597,3104,0,1441,0,0,8148
AR -- RANDOLPH (County),32,21,23,28,46,33,44,52,47,292,5,0,1,0,28,0,3,2,3,12,5,25,26,54,195,1,2,38,19,24,44,77,51,0,65,3,2,0,1,26,29,183,88,1,186,85,0,54,0,0,326
AR -- SALINE (County),190,198,284,385,573,616,690,683,834,3951,44,72,15,10,361,0,14,34,48,99,312,285,407,873,2376,5,5,62,44,88,217,660,885,37,1720,197,288,149,101,628,311,1963,1551,3,2954,817,0,679,0,0,4453
AR -- SCOTT (County),9,5,10,11,16,6,12,21,26,102,2,0,0,1,11,0,0,2,2,4,3,5,6,15,79,0,1,17,6,6,22,14,22,0,27,0,0,0,1,8,10,59,39,0,73,28,0,15,0,0,116
AR -- SEARCY (County),10,13,14,17,25,19,32,16,7,142,1,0,0,0,10,0,0,0,3,4,6,4,11,25,97,3,0,21,8,20,25,35,20,0,22,1,0,0,1,2,2,117,32,0,130,10,0,13,0,0,153
AR -- SEBASTIAN (County),141,108,145,162,208,244,248,297,483,1774,44,27,7,12,172,0,23,34,38,81,97,123,140,375,1124,1,5,70,51,90,175,395,370,8,671,41,96,42,22,260,236,1004,536,0,1307,343,0,386,0,0,2036
AR -- SEVIER (County),9,3,18,9,23,27,16,21,15,130,1,1,0,0,9,0,0,1,0,2,2,7,7,25,97,0,0,25,8,10,11,30,21,0,34,0,1,1,0,31,9,61,40,0,69,52,0,20,0,0,141
AR -- SHARP (County),22,11,30,31,35,43,47,56,61,301,3,0,2,1,29,0,3,2,1,4,10,17,17,62,220,0,1,46,24,31,44,75,53,0,60,1,1,0,0,41,26,221,48,0,226,69,0,41,0,0,336
AR -- ST. FRANCIS (County),13,11,11,14,21,34,30,32,35,93,0,97,1,0,10,0,1,1,4,4,8,5,10,24,144,0,0,24,11,11,32,46,34,0,37,1,2,2,1,41,31,57,72,0,64,118,0,19,0,0,201
AR -- STONE (County),8,13,22,18,27,33,44,39,31,218,2,0,2,0,13,0,3,0,7,11,6,10,10,31,157,0,1,21,12,16,42,42,30,0,64,2,3,1,1,27,22,143,43,2,153,59,0,21,0,0,235
AR -- UNION (County),56,53,60,59,78,63,87,74,72,424,5,144,3,2,24,0,6,13,13,19,29,26,32,83,377,4,2,47,16,31,67,180,105,1,122,18,8,3,2,92,117,219,174,0,268,206,0,128,0,0,602
AR -- VAN BUREN (County),24,15,32,49,69,67,94,139,90,525,8,1,0,2,43,0,2,3,3,8,31,17,22,114,377,2,1,32,23,25,87,140,101,0,146,4,13,4,3,44,24,415,96,0,409,102,0,68,0,0,579
AR -- WASHINGTON (County),138,149,208,253,328,412,389,362,405,2293,37,13,10,18,273,0,27,37,70,136,164,162,184,468,1387,9,11,57,55,72,224,435,434,33,876,104,150,106,87,562,239,1194,649,4,1533,642,0,465,0,0,2644
AR -- WHITE (County),126,88,149,173,268,289,278,260,335,1786,10,13,3,5,149,0,9,20,25,48,119,128,140,405,1068,4,6,62,51,72,201,445,354,6,619,40,54,36,20,132,122,1225,487,1,1357,312,0,296,0,0,1966
AR -- WOODRUFF (County),12,10,7,6,15,18,16,29,22,80,1,51,0,0,3,0,0,0,1,3,7,10,4,14,96,0,1,24,3,14,21,29,20,0,19,2,0,0,2,23,25,52,35,0,58,64,0,13,0,0,135
AR -- YELL (County),15,14,25,14,37,26,45,37,39,225,0,1,0,1,25,0,3,2,4,5,9,8,12,46,163,0,0,16,12,17,38,67,24,2,64,3,6,2,1,26,13,161,52,0,169,48,0,35,0,0,252
AZ -- APACHE (County),33,22,31,25,41,52,39,43,90,284,19,0,1,12,60,0,2,6,9,12,28,19,26,58,215,1,36,14,16,47,66,88,47,3,46,1,6,4,2,47,9,171,149,2,191,97,0,48,13,25,376
AZ -- COCHISE (County),351,262,295,428,677,621,608,780,1537,4065,816,36,49,40,553,0,25,45,64,97,240,287,378,1067,3349,7,26,154,131,232,612,1062,1120,226,1678,95,127,69,27,723,1008,2725,1103,38,2827,1115,0,1029,122,428,5559
AZ -- COCONINO (County),59,63,66,83,156,138,163,167,301,893,127,0,6,15,155,0,7,14,21,35,58,76,85,206,694,0,42,18,22,41,90,182,262,51,337,36,53,44,18,247,212,449,288,13,510,341,0,235,10,87,1196
AZ -- GILA (County),50,30,52,45,76,74,92,147,304,686,85,0,2,5,92,0,2,10,10,15,18,27,36,114,637,1,23,44,23,47,119,249,135,0,174,19,20,11,6,111,82,473,204,7,489,169,0,115,13,77,870
AZ -- GRAHAM (County),34,19,27,20,39,43,39,58,185,319,109,0,3,1,32,0,1,6,10,11,21,23,26,75,291,0,3,26,16,32,50,166,86,0,82,0,2,1,0,44,84,239,97,5,257,117,0,43,8,34,464
AZ -- GREENLEE (County),9,5,6,5,8,9,5,6,24,50,22,0,0,1,4,0,0,0,6,0,8,2,7,10,44,0,0,2,4,4,19,11,27,2,8,0,0,0,0,12,13,32,20,0,37,28,0,6,2,4,77
AZ -- LA PAZ (County),34,18,11,14,26,26,19,35,54,192,17,0,1,6,21,0,0,3,3,1,6,10,15,29,168,2,13,15,4,19,54,68,23,0,39,1,1,0,0,16,51,124,46,0,124,37,0,35,13,28,237
AZ -- MARICOPA (County),3595,2860,3885,5071,8899,8035,8420,10044,19382,51536,8041,768,744,878,8224,0,179,511,950,1407,3267,3653,5385,12949,41726,164,268,685,687,1362,4213,10892,14297,2974,23020,3194,3663,2626,2310,11406,12111,30889,15785,517,35074,16536,0,14229,212,3623,70191
AZ -- MOHAVE (County),298,145,192,235,369,357,395,461,902,2797,155,10,13,29,350,0,9,29,46,48,75,102,145,425,2465,10,36,190,107,234,553,907,654,38,562,19,29,17,8,295,230,2129,700,6,2086,460,0,513,29,260,3354
AZ -- NAVAJO (County),73,55,58,92,130,131,144,152,339,907,96,3,5,16,147,0,5,11,17,32,41,44,84,197,743,0,51,47,39,47,158,327,215,3,245,12,12,14,4,151,52,644,327,6,672,225,0,161,30,80,1174
AZ -- PIMA (County),1088,879,1066,1371,2532,2072,2290,2720,5970,14214,3229,106,167,196,2076,0,74,207,287,452,825,908,1311,3579,12306,39,79,432,343,639,1783,3626,4247,561,6189,674,734,403,278,3875,3991,8019,4103,149,8886,5700,0,3745,51,1457,19988
AZ -- PINAL (County),388,308,354,459,724,577,592,696,1174,3914,679,49,28,53,549,0,14,59,79,157,244,306,371,918,3109,15,88,142,92,178,506,1170,1254,209,1389,91,93,37,23,706,835,2575,1156,45,2689,1100,0,1011,130,297,5272
AZ -- SANTA CRUZ (County),98,62,80,75,129,107,86,106,184,284,592,1,3,7,40,0,2,9,18,21,41,56,78,163,532,7,16,18,15,59,142,274,169,16,194,10,10,2,2,144,157,226,400,9,237,456,0,166,9,50,927
AZ -- YAVAPAI (County),193,159,214,265,442,469,508,700,1664,3748,228,3,27,48,560,0,14,33,48,67,97,142,203,596,3400,14,49,138,108,173,482,975,1087,54,1194,104,155,67,28,535,494,2721,864,27,2760,712,0,121,651,343,4614
AZ -- YUMA (County),420,273,288,330,504,453,489,520,770,2425,1239,14,25,19,325,0,10,19,46,87,243,281,327,744,2278,12,31,84,68,166,500,963,828,80,1055,116,101,32,23,494,305,1875,1373,28,2106,889,0,756,69,199,4047
CA -- ALAMEDA (County),1549,1495,1773,2130,2443,2887,3414,4401,9473,15547,4780,1050,4165,945,3078,0,48,143,372,513,1701,1303,2141,5939,17346,59,85,116,154,258,550,1955,3361,721,7641,2630,3593,4078,4423,10163,5633,6069,7700,245,7516,14770,1021,5846,167,0,29565
CA -- ALPINE (County),1,0,0,2,3,1,0,6,6,16,2,0,0,0,1,0,0,0,0,1,0,2,0,3,13,0,0,1,0,1,1,1,1,8,4,0,2,0,0,3,0,11,5,2,9,4,0,4,0,0,19
CA -- AMADOR (County),22,35,47,48,56,75,86,151,372,709,58,2,3,5,115,0,3,5,12,20,33,50,48,128,592,1,9,16,7,15,53,151,262,20,271,20,23,18,27,98,22,568,204,24,482,210,49,125,2,0,892
CA -- BUTTE (County),543,311,339,429,510,689,857,1295,3206,6649,549,12,74,53,842,0,26,55,144,129,477,407,524,1283,5124,10,125,242,180,276,731,1550,1671,224,2368,275,254,199,84,1454,489,4381,1855,119,3998,2320,441,1284,17,0,8179
CA -- CALAVERAS (County),43,42,41,58,64,99,111,182,344,781,74,2,8,9,110,0,4,8,11,24,42,43,57,149,643,3,13,12,13,8,55,209,242,58,249,24,33,32,36,100,41,633,210,13,563,238,61,104,5,0,984
CA -- COLUSA (County),15,19,21,21,36,45,44,54,155,320,53,0,3,4,30,0,2,2,6,8,25,18,15,56,278,0,4,3,5,18,31,79,102,3,136,11,12,5,1,5,22,268,115,4,243,79,22,62,0,0,410
CA -- CONTRA COSTA (County),1320,1552,1962,2262,2972,3345,4013,5268,12157,22199,4295,1191,2067,1014,4085,0,56,127,386,586,1786,1631,2514,6745,20951,69,67,115,107,184,647,2403,3732,862,8784,2666,3243,4363,7678,8792,5225,11184,9650,335,10883,15932,1560,6069,72,0,34851
CA -- DEL NORTE (County),38,38,32,25,49,38,45,71,162,407,21,2,4,5,59,0,0,4,17,13,20,21,32,86,303,2,5,15,17,25,81,102,119,31,89,7,3,3,1,46,44,292,116,5,267,118,37,69,2,0,498
CA -- EL DORADO (County),102,143,160,193,246,304,422,602,1586,2981,210,5,56,50,456,0,10,20,75,97,174,186,192,653,2344,7,16,31,25,34,116,415,696,127,1234,177,303,290,294,556,106,2300,796,66,1981,997,197,487,30,0,3758
CA -- FRESNO (County),858,689,680,673,757,844,973,1376,3181,6082,2513,110,264,286,776,0,63,155,307,426,564,600,662,1639,5562,53,61,241,184,341,915,2018,2027,422,2843,295,319,238,127,698,1259,5158,2916,100,5000,3108,449,1252,122,0,10031
CA -- GLENN (County),25,25,56,43,51,61,78,153,368,655,90,1,8,4,102,0,1,0,5,14,51,40,47,140,560,2,8,26,20,27,75,173,201,37,271,4,9,4,5,73,60,605,122,8,560,159,31,98,4,0,860
CA -- HUMBOLDT (County),163,109,116,111,127,163,232,285,653,1631,97,4,12,17,198,0,7,24,53,75,94,87,114,299,1198,8,19,82,49,75,255,439,471,45,445,29,27,13,10,382,104,926,547,34,824,669,105,310,17,0,1959
CA -- IMPERIAL (County),243,129,165,138,142,130,164,210,322,561,974,5,22,13,68,0,16,30,53,75,138,137,132,298,752,12,28,22,35,85,237,331,344,121,396,14,17,8,5,52,282,649,660,17,637,641,75,264,9,0,1643
CA -- INYO (County),9,14,7,16,12,21,37,47,120,227,21,2,3,5,25,0,3,2,5,6,14,6,11,39,197,0,0,14,9,15,34,63,47,9,70,5,9,2,6,34,14,169,66,5,149,77,17,34,1,0,283
CA -- KERN (County),816,727,756,736,812,915,964,1332,3002,6947,1903,143,101,136,830,0,83,153,352,464,671,709,674,1836,5080,38,102,268,220,398,989,1945,2063,414,2756,241,357,211,96,597,984,6159,2320,140,5798,2253,500,1359,10,0,10060
CA -- KINGS (County),161,197,189,174,172,164,185,278,596,1275,526,20,15,33,247,0,22,39,77,127,120,142,162,414,1006,7,16,35,31,80,196,488,558,77,564,22,16,25,8,94,209,1257,556,29,1160,526,101,299,1,0,2116
CA -- LAKE (County),110,63,64,67,84,83,113,126,307,820,70,2,2,7,116,0,5,8,22,29,51,31,44,134,680,13,72,38,21,49,162,273,160,20,161,27,14,8,12,141,101,465,310,14,416,341,67,173,6,0,1017
CA -- LASSEN (County),40,39,29,36,42,40,60,86,188,450,39,4,5,4,58,0,1,9,18,25,28,23,33,120,303,0,8,20,11,20,69,126,171,16,100,9,6,4,0,30,40,392,98,5,345,93,47,68,2,0,560
CA -- LOS ANGELES (County),6064,4448,4519,4963,5307,5907,6986,9105,17292,31990,15332,4442,4155,2280,6392,0,330,842,2058,2461,3327,3403,3665,10385,37041,1079,380,730,721,1039,3428,9551,12070,2888,18851,3142,4195,3762,3834,9319,11866,21752,21654,598,22086,28570,2482,10394,461,0,64591
CA -- MADERA (County),102,110,98,110,116,143,181,270,604,1185,353,3,22,12,159,0,12,20,50,57,91,97,116,279,1011,1,12,42,23,54,140,371,440,57,485,29,42,29,10,103,149,1032,450,27,935,454,101,203,14,0,1734
CA -- MARIN (County),45,56,71,84,111,158,203,357,1032,1587,100,11,62,57,300,0,7,15,36,51,71,64,81,280,1498,14,12,6,9,10,38,87,158,42,529,207,276,295,448,1036,126,444,511,22,542,1105,89,341,18,0,2117
CA -- MARIPOSA (County),8,18,30,21,22,32,57,70,157,349,23,0,2,6,35,0,4,8,9,16,16,13,12,63,274,0,3,13,9,18,32,97,118,11,97,5,3,6,3,27,10,287,91,4,235,88,21,64,3,0,415
CA -- MENDOCINO (County),62,56,44,79,66,70,109,159,363,814,62,3,3,10,116,0,7,8,22,25,38,38,57,160,651,2,39,14,18,27,93,297,217,66,163,28,29,10,7,170,54,432,352,7,355,396,64,183,3,0,1008
CA -- MERCED (County),296,156,170,209,213,216,249,328,738,1524,672,23,63,24,269,0,26,40,79,96,141,144,155,443,1436,15,19,58,64,93,255,729,615,94,543,29,41,27,8,106,344,1303,822,30,1219,833,141,343,9,0,2575
CA -- MODOC (County),4,6,6,5,6,14,14,19,44,95,6,0,0,1,16,0,0,2,4,2,5,6,6,15,78,0,5,9,9,12,18,30,18,0,14,1,1,1,0,6,7,83,22,1,71,22,9,15,0,0,118
CA -- MONO (County),6,3,6,10,4,6,15,20,32,86,6,1,0,1,8,0,2,1,4,2,2,4,7,16,64,0,0,3,2,4,3,22,21,8,24,0,5,4,6,18,3,60,21,2,51,32,8,9,0,0,102
CA -- MONTEREY (County),182,257,213,214,261,315,363,543,1252,2213,840,43,98,77,329,0,26,48,115,139,159,141,175,588,2181,28,16,29,33,54,150,499,758,178,1019,183,238,219,224,565,499,1272,1264,32,1224,1612,152,577,3,0,3600
CA -- NAPA (County),160,176,167,253,284,359,511,749,2140,3424,635,16,88,86,550,0,7,22,48,76,245,164,298,818,3111,10,33,24,31,37,107,349,674,172,1543,327,596,470,436,1236,447,1683,1433,66,1632,2066,207,800,28,0,4799
CA -- NEVADA (County),82,129,134,167,199,272,383,730,2246,3646,149,8,35,46,458,0,6,14,27,59,167,149,202,575,3134,9,29,53,37,57,157,620,1029,97,1683,131,188,132,129,895,32,2305,1110,69,1989,1390,210,449,235,0,4342
